,0
0,0.026210951212482105
1,0.0
2,0.29954515316947616
3,0.8088248449721944
4,0.0
5,0.19970760622255215
6,0.0
7,0.16195545823138421
8,0.605060827497884
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.09361340637795602
16,0.06065215254664915
17,0.0
18,0.0
19,0.04916042285195431
20,0.12738818734751853
21,0.22463550449095834
22,0.03380410008545213
23,0.04694721565988193
24,0.0
25,0.0
26,0.0
27,0.0
28,0.148297556134913
29,0.014609837753061811
30,0.009745059258121642
31,0.0
32,0.0
33,0.0
34,0.0
35,0.029101583293884774
36,0.16150284825650904
37,0.0
38,0.0
39,0.11512163000801592
40,0.0
41,0.0
42,0.0
43,0.0
44,0.34467147038661283
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.8023620304392913
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.02053183855568109
57,1.1537152886755209
58,0.0
59,0.0
60,0.0
61,0.0
62,0.011419100913991766
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0140309570511518
77,0.0
