,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC
0,1.1673618775290877,1.0208207183911522,1.0113204886028309,1.0621952052666066,1.1191465747039369,1.1680921106928548,1.1053180520040964,1.181134739303102,1.073757372441216,1.0784354504683473,1.161891099231973,1.062526172805703,1.0874701218245202,1.1501867940241477,1.0893506296823712,1.0031904913214786,1.0588082779747077,1.1107998721734538,1.0780405861881126,1.0813481748207476,0.9393472990080278,1.0728523364755775,0.9679854148377081,1.0897935102168446,1.0417604349737037,1.0273003550244753,0.9818386598072573,1.0018286611670129,1.0526145348328257,1.0484505962036994,0.9644615518824221,1.0867981450322297,0.9766519874111901,1.083085545785262,1.1766499610358183,1.0280100277369963,1.0201438368772975,1.062417523904446,1.1210856826529143,1.1727472676208723,1.1018434389186849,1.1901987834583831,1.0711805280979105,1.069263718338423,1.1511964594830668,1.0655933045993207,1.083508330238024,1.1485421068568205,1.0890462360847681,0.9997672766209313,1.0517791082875463,1.1029403604077779,1.0734487604555718,1.0769941376549277,0.9414063478690854,1.0759812321091409,0.9689097286035568,1.092167861379871,1.0501811819876097,1.0228954451034882,0.9780513723835759,1.007277089589465,1.0525507629657498,1.0527188402825725,0.938681895777331,1.1015270971186375,0.9957781736523332,1.0774850123996265,0.9905973840204203,1.1980610506658163,1.0826023507254734,1.4203334411568507,1.5793533148056742,1.206652048841596,1.192849827671575,1.2397576467106606,1.2450523200559287,0.987664871586058,1.1892815805826753,1.077175704765428,1.4481935594509574,1.5719384835023713,1.2001553776938974,1.1911828114879823,1.2159451408648003,1.228503860446651
1,1.1683954189815666,1.0212460835954973,1.0121391241502167,1.0629353396244186,1.1202509020808347,1.169263774728508,1.1065959895691193,1.1824646841676065,1.0745230785530588,1.0796309842032359,1.162508267258865,1.0631985839546114,1.087990120095037,1.1513457806375162,1.0902301770489584,1.0036240659940734,1.0593497038707924,1.1114931176381393,1.078629548058093,1.0820361390090723,0.9398545424980544,1.0735424206311763,0.9684557803001573,1.0905802341138768,1.0421937562727848,1.0281365483173126,0.9824246367193624,1.002675499001628,1.0532516902216775,1.049338199285881,0.9651405514757081,1.0875486955999782,0.9770439152727652,1.083658202018471,1.1777692210321589,1.0283548515224477,1.0208783750178616,1.0630840750922472,1.1222601596071884,1.1738383910105776,1.1029867025978086,1.1914673866605086,1.071925308828328,1.0702695859192066,1.1517977268119726,1.0662681603651054,1.0840158442891095,1.149668866862245,1.0899288161547078,1.0002134956088542,1.0523294933622938,1.103703441373151,1.0741360804044375,1.0776789518848227,0.9419084929949398,1.0766476156351494,0.9693793066441067,1.0929578783961509,1.0505731983524995,1.023687156542588,0.978593548596146,1.0080427870745685,1.0533094944046215,1.0536074647628695,0.9393166507924249,1.102352214414063,0.9961741986853652,1.0780563421807527,0.9905966358394519,1.1982502189101896,1.0829976924677827,1.4209024211296557,1.5798755571153393,1.2075130026480654,1.1940958874765073,1.2404216326695645,1.2454315600705725,0.9877044267505243,1.1894288500801826,1.0775509351355423,1.4487668995811416,1.5723918565442596,1.2009523504853221,1.1923639049865478,1.2165959092856284,1.228862603658702
2,1.1695021459398587,1.0216969326391767,1.0130185701576884,1.0637117902702367,1.121443447857463,1.1705163787962145,1.1079471359793422,1.1838882760238425,1.0753400862818463,1.0808878563315372,1.16316362278755,1.0639059949013057,1.0885462437522668,1.1525872112675757,1.0911752879887837,1.0040889951602645,1.0599278850189693,1.1122164590318213,1.07924460644799,1.0827545250150956,0.9403826396369676,1.074281984992209,0.9689544220337122,1.0914237967251839,1.0426502684819805,1.0290159061012933,0.9830527096955665,1.003572365516468,1.0539309089223883,1.050273938736895,0.9658453150421203,1.0883567457789065,0.9774501970768844,1.0842774354289877,1.1789478952560015,1.0287252740269917,1.0216578721583924,1.0637819731526064,1.1235176728448772,1.1750051224773876,1.104186035518056,1.1928194549096944,1.0727156629417869,1.0713208636262799,1.1524264376091842,1.0669728270849301,1.0845545805136092,1.1508596252425032,1.0908690380953896,1.0006851018685587,1.0529044814210227,1.1044790964998692,1.0748404589558354,1.0783863783235894,0.9424266057109746,1.0773580841690502,0.9698703732713037,1.0937958847397482,1.050989912020268,1.0245114217831477,0.9791714402333146,1.0088516905181133,1.0541042157815146,1.0545347623367203,0.9399735071375572,1.1032369568559186,0.9965824639944953,1.0786597556966933,0.9906007544584938,1.1984534076915874,1.0834084000766495,1.421529160643008,1.5804576300305404,1.208421481762725,1.1954425481020938,1.2411321082848488,1.245827285136232,0.9877451259718985,1.1895895315949403,1.0779410770744033,1.4494028153731005,1.572896159725146,1.2017963794306217,1.1936476803965697,1.2172936310106983,1.2292348794977805
3,1.1706696483664105,1.0221686709135673,1.0139478810631057,1.064517368237023,1.122708025936224,1.1718359616356402,1.1093588724988401,1.1853899432741983,1.076200197805704,1.082194921746778,1.1638504026241152,1.0646416970575412,1.0891319626314342,1.1538970623014535,1.0921742072879859,1.0045790304734612,1.0605360033077693,1.1129648040245208,1.0798804073127835,1.083497425211199,0.9409272970370547,1.0750625339907094,0.9694755533626407,1.0923144065509933,1.0431255186991553,1.0299306242970063,0.9837151508659606,1.0045108575891197,1.0546446392656732,1.0512496957809108,0.9665711156527087,1.0892122356363028,0.9778685092779745,1.084934923804727,1.1801752153049123,1.0291164575058438,1.0224737214314688,1.0645048906452674,1.1248430382898986,1.176234148847178,1.105431535995205,1.1942401965832472,1.073543953210214,1.072408510890035,1.1530769101267324,1.0677018032108927,1.085118424968383,1.1521026596464352,1.0918560282978005,1.0011767223269943,1.0534988861848888,1.10526384155347,1.07555787099672,1.079111443828043,0.9429568903461172,1.078105031022309,0.9703781291660981,1.0946728860593766,1.0514265924605395,1.0253615481980458,0.9797780488928571,1.0096958600707018,1.0549278364442323,1.055493711964637,0.9406480780608,1.1041695574289834,0.9970006428578552,1.0792888971588337,0.9906089326306109,1.1986672499048974,1.0838318012661647,1.42220285734575,1.5810882819418886,1.2093693450619167,1.1968717160819453,1.2418794905706971,1.246236049581486,0.9877863027954725,1.1897604803032853,1.0783438438950474,1.4500899162608096,1.5734419164444822,1.2026794410146933,1.1950153583910879,1.2180290826184095,1.2296175758180514
4,1.1718855162236703,1.0226567038100456,1.0149161113043292,1.0653448845577416,1.1240284502195184,1.1732085619864498,1.1108185803916883,1.186954114321065,1.077095215302757,1.0835410353424848,1.1645618435746479,1.065398981835073,1.089740746567764,1.1552613101262756,1.093215179732705,1.0050879235870744,1.0611672406257233,1.1137330602862583,1.0805315966074556,1.0842589319697653,0.9414842213106036,1.0758755720587123,0.9700133876112113,1.0932422720915322,1.0436150540221742,1.03087289882504,0.9844042323606355,1.0054825720971705,1.0553853295822477,1.0522573516420997,0.9673132263785228,1.0901051052394561,0.9782965283304629,1.0856223449336044,1.181440412776457,1.0295235642142204,1.0233173159696682,1.0652465001299745,1.1262210718661703,1.1775121569458242,1.1067133023450322,1.1957148200584744,1.0744025424055352,1.0735234871408648,1.1537434626166487,1.0684495871950919,1.0857012637102905,1.1533862477228813,1.0928789131529282,1.0016829839111103,1.0541075213750473,1.1060541922994906,1.0762842914140474,1.0798491752550001,0.943495551229295,1.078880849506392,0.9708977750094386,1.0955798880037502,1.0518785091429397,1.026230843160161,0.9804063761725498,1.0105673558829342,1.0557732657405778,1.0564772926071326,0.9413359768102245,1.1051382491180364,0.9974264085535762,1.0799374107785602,0.9906203631088678,1.1988883784450055,1.08426522375042,1.4229127088867233,1.5817562612399954,1.210348451421981,1.1983652979496744,1.242654196541292,1.2466544077349138,0.9878272907665384,1.1899385513815548,1.078756948910511,1.4508168116782443,1.5740196501017185,1.203593511722434,1.1964481596431435,1.2187930406871625,1.2300075804736792
5,1.1731373394740852,1.0231564367199877,1.015912315319219,1.0661871502653555,1.1253885346097479,1.1746202185883092,1.112313640921962,1.1885652175668318,1.0780169409511307,1.0849150520121835,1.1652911824452352,1.066171140645656,1.0903660653964797,1.1566659311291692,1.0942864501090808,1.0056094261545137,1.061814778861363,1.114516135487054,1.0811928202869865,1.085033137663176,0.9420491190699022,1.076712603628252,0.9705621381036922,1.0941976018470283,1.0441144215489024,1.0318349256059829,0.9851122263096826,1.0064791059182079,1.0561454282028273,1.053288787544632,0.9680669202906127,1.0910252946556553,0.9787319306887765,1.086331376603535,1.182732719268202,1.0299417564073376,1.0241800489055701,1.0660004741664721,1.12763658949761,1.1788258335992023,1.1080214328833147,1.1972285337126833,1.0752837932996777,1.0746567518091619,1.1544204133309646,1.0692106774896264,1.0862969827961912,1.1546986671206818,1.0939268190517608,1.002198513547857,1.0547252007126542,1.1068466645034691,1.0770156950947722,1.080594599461277,0.9440387926894349,1.0796779329327648,0.9714245114822753,1.0965078962215822,1.0523409315370924,1.027112614042371,0.9810494236701683,1.0114582381054131,1.0566334130183541,1.0574784832247197,0.9420328166339025,1.1061312649078572,0.9978574343597904,1.0805989407672587,0.9906342386463296,1.1991134262068,1.084705995243506,1.4236479129147708,1.582450316315471,1.21135065971926,1.199905200238892,1.243446643210817,1.2470789139250937,0.9878674234303887,1.1901206000060858,1.0791781054338307,1.4515721110593818,1.5746198840963073,1.2045305680387408,1.1979273048257777,1.2195762817953575,1.2304017813188288
6,1.1744127080801026,1.0236632750347703,1.0169255475456354,1.0670369763928271,1.1267720930093135,1.1760569701808836,1.1138314353537369,1.1902076814138889,1.0789571769289503,1.086305826649401,1.1660316560419637,1.0669514649010445,1.0910013889528054,1.1580969016972604,1.0953762632032527,1.0061372898291894,1.0624717999032187,1.1153089372969294,1.0818587243063575,1.0858141346638135,0.9426176969272374,1.0775651331313627,0.9711160181643516,1.0951706043177085,1.044619168377204,1.032808900560423,0.9858314048431928,1.0074920559298184,1.0569173834581271,1.0543358847126774,0.9688274704600282,1.0919627439521886,0.9791723928073427,1.087053696602434,1.184041366377713,1.0303661963404112,1.025053313371752,1.0667604853145043,1.1290744071081347,1.1801618656331883,1.1093460259258294,1.1987665459231809,1.0761800686645675,1.0757992643253182,1.15510208052171,1.0699795725465946,1.0868994682829456,1.1560281954886769,1.0949888723852848,1.0027179381641838,1.0553467379188644,1.1076377739309422,1.07774805692585,1.0813427433036886,0.9445828190554645,1.0804886746128939,0.9719535392655572,1.0974479163615871,1.0528091291126225,1.0280001682175546,0.9817001929834885,1.0123605668887388,1.0575011876253644,1.0584902627779105,0.9427342107799054,1.1071368377832238,0.9982913935546285,1.0812671313363145,0.9906497519960609,1.1993390260851673,1.0851514434595144,1.4243976670787333,1.5831591955589268,1.2123678288300948,1.2014733294832094,1.2442472475934558,1.247506122480605,0.9879060343323153,1.190303481353215,1.0796050267780428,1.4523444238381964,1.5752331418276984,1.2054825864485113,1.19943401461203,1.2203695825213938,1.2307970662076644
7,1.17569921200417,1.0241726241457698,1.017944862421438,1.06788717397312,1.1281629393206172,1.1775048555038388,1.115359344951088,1.1918659342646265,1.0799077254143419,1.0877022141476633,1.166776501170921,1.0677332460129942,1.0916401870719659,1.1595401982176765,1.0964728638013606,1.006665266264511,1.0631314856398215,1.1161063733859042,1.0825239546205492,1.0865960153440593,0.9431856614948975,1.078424665000079,0.971669241117458,1.0961514880038006,1.0451248416049443,1.0337870196089491,0.9865540400912574,1.00851301900959,1.0576936436788629,1.0553905243704065,0.9695901499578188,1.0929073931963453,0.9796155911405885,1.0877809827182172,1.1853555857025564,1.0307920462686575,1.0259285025007927,1.067520206133815,1.1305193406216625,1.181506939873657,1.1106771797883537,1.200314065067274,1.0770837312721315,1.0769419841197272,1.1557827824409173,1.070750770818095,1.087502606227413,1.1573631104757067,1.0960541995444886,1.0032358846870402,1.055966946714834,1.1084240363474485,1.078477351794236,1.082088633639052,0.945123834656311,1.081305467858245,0.972480059040234,1.0983909540724788,1.053278371339155,1.0288868130585898,0.9823516857102862,1.0132664023835132,1.058369498909412,1.0595056102272178,0.9434357724963051,1.1081432007289165,0.9987259594162229,1.0819356266971136,0.9906660959111264,1.1995618109749948,1.085598896112536,1.425151169027454,1.5838716473609737,1.2133918176308267,1.2030515922162386,1.2450464267033912,1.2479325877300265,0.9879424570176104,1.1904840505992798,1.0800354262561838,1.4531223594486644,1.575849946695344,1.2064415434366427,1.2009495096749419,1.2211637194436724,1.2311903229943517
8,1.1769844412087356,1.0246798894443627,1.0189593143844873,1.0687305540391974,1.1295448874460599,1.1789499132968393,1.116884750978091,1.1935244045214346,1.0808603885854298,1.0890930694004968,1.1675189546381939,1.06850977539326,1.0922759295891855,1.1609817970775436,1.097564496689544,1.0071871071138894,1.0637870179597029,1.1169033514239997,1.0831831571845427,1.0873728720762958,0.9437487193851702,1.0792827036664352,0.9722160202872797,1.097130461405532,1.045626988329988,1.03476147867215,0.9872724041839673,1.0095335920351092,1.0584666571957495,1.05644458774199,0.9703502318550344,1.0938491824554137,0.980059202142941,1.0885049127387993,1.1866646088402981,1.0312144684472921,1.0267970094252705,1.0682733091841492,1.1319562059621113,1.182847743146485,1.1120049927866644,1.20185629952227,1.0779871438942958,1.078075870622781,1.1564568373406168,1.0715187707562266,1.0881002826864532,1.1586916897306117,1.0971119269203593,1.0037469800433763,1.0565806408217187,1.1092019675185247,1.0791995545868855,1.0828272973241828,0.9456580438209016,1.0821207059802842,0.9729992714872552,1.0993280150029707,1.053743927686314,1.0297658559383551,0.9829969034483377,1.014167804740338,1.0592312562182997,1.0605175045331543,0.9441331150311733,1.1091385867297139,0.9991588052227045,1.082598071061042,0.9906824631445912,1.1997784137711696,1.086045680916662,1.425897616409775,1.584576420112223,1.2144144849977971,1.204621894971591,1.2458345975548066,1.2483548640019368,0.9879760250315659,1.1906591629206167,1.0804670171812898,1.4538945273247617,1.5764608220986949,1.2073994154880323,1.2024550106875536,1.2219494691405928,1.2315784395330545
9,1.1782559856562458,1.0251804763219257,1.0199579578726437,1.069559927624022,1.1309017512880435,1.1803781822995516,1.1183950346988212,1.195167520586703,1.0818069686203402,1.0904672473014283,1.1682522532498698,1.0692743444535968,1.0929020863396883,1.162407674663989,1.0986394066539429,1.007696564030734,1.0644315787513934,1.1176947790812364,1.0838309779533188,1.0881387972329049,0.944302577210343,1.080130753562466,0.9727505689980851,1.0980977330231303,1.0461211556502001,1.0357244736706137,0.9879787692514141,1.0105453718839637,1.0592288723395034,1.0574899560515982,0.9711029892227251,1.0947780517966827,0.9805009022688276,1.0892171644520965,1.1879576673885042,1.0316286251315319,1.0276502272777641,1.0690134670252505,1.1333698190533987,1.184170962277548,1.1133195632365387,1.2033784576654762,1.0788826693029878,1.0791918832648724,1.15711856347284,1.072278070813088,1.0886863837169265,1.160002210902232,1.0981511809038849,1.0042458511601415,1.0571826339606731,1.1099680832097092,1.0799106401907541,1.083553761215897,0.9461816508781639,1.0829267822904776,0.9735063772875703,1.1002501048017772,1.0542010676237252,1.030630604229729,0.9836288477954183,1.015056834109814,1.0600793688998311,1.0615189246562327,0.9448218516325816,1.1101112287703954,0.9995876042522055,1.0832481086394858,0.9906980464495203,1.1999854673685786,1.0864891255859843,1.4266262068745377,1.5852622622032857,1.215427689807348,1.2061661442828777,1.2466021771618854,1.2487695056249155,0.9880060719194745,1.1908256734935636,1.0808975128663976,1.4546495369004644,1.5770562914372028,1.208348179087577,1.2039317383229062,1.2227176081905553,1.231958303677938
