Unnamed: 0,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Hippocampus,Left-Amygdala,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Hippocampus,Right-Amygdala,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
1,0.004949044153073909,0.0818428118861597,0.12243319620452511,0.2351873169578686,0.0758657456615769,0.004017550369678711,0.06787954648414639,0.09831767849274765,0.19938269888235863,0.06359311942467667,0.24599923825088169,0.036564970107485856,0.1385109656361387,0.12093217972453041,0.1392630994544575,0.2907126592636071,0.33330686909550583,0.41314450783844947,0.1292633759146102,0.19328213920543297,0.12149770755369906,0.10806923695590752,0.051774581647781405,0.3690618800786176,0.09338319579670985,0.024208802052816843,0.06493166016074887,0.09344100734725837,0.072143342831864,0.08291816947083071,0.031031973879843543,0.0778493898964396,0.04061919414492161,0.2467088141001087,0.02487153283565472,0.11162403885695446,0.04296491716298145,0.1319439452865199,0.07162643649561572,0.1258135880838493,0.040992902914274716,0.13367001362765085,0.03915591911105526,0.045155968284042544,0.21427739145698574,0.03466360647433854,0.1409558126886508,0.13468387999744913,0.23395741715046015,0.2877076407586186,0.35489280983243837,0.4298725166478906,0.12239463191648144,0.23704444876958652,0.11523781264710804,0.09182398243666771,0.05412602746988926,0.29964786450683367,0.09156127215822142,0.03265836167163047,0.050191019426456235,0.10555521437423049,0.05819769143492101,0.0936576030922705,0.02657586112987761,0.056416848209520455,0.025641652754616318,0.23763703212192405,0.022971149150363274,0.11127887735581433,0.04864330262662164,0.1179439060690699,0.06987719380985315,0.09540439380004463,0.030714417531744632,0.09452166933846975,0.03599693112706067,0.0481004317716651
2,0.007064164863830501,0.10723684025489255,0.16710997837821023,0.2711173747224301,0.10025371285744389,0.005883525502494816,0.09206033521712259,0.14848164379813408,0.23363849563355396,0.09022148140155022,0.28603894709761707,0.07307246646828783,0.1528686625664222,0.161008180379372,0.18258725571868922,0.33153904265820233,0.36416224626788074,0.4696095812022385,0.18427054272943666,0.24714918775395256,0.1440658589510791,0.16380613780992992,0.07114900006354238,0.41455862984327196,0.16651061891301622,0.05273454206157405,0.09729204120034575,0.12236724113358484,0.10193463271685917,0.15113910408039147,0.06812341471054793,0.11278297548762571,0.06837007955477446,0.2671784354310463,0.05384661468756821,0.1400191291770601,0.06939096483797556,0.18257732568090107,0.12496070380513027,0.16546041286967636,0.06563429228341326,0.18056208743478663,0.08673996610665229,0.08183004201972727,0.2595977210263217,0.07038753102794497,0.14893291541891884,0.17258256991125198,0.26673582807093577,0.3254880163100553,0.37985293255736685,0.4806007085618323,0.17986230482848625,0.287547763310402,0.1396503932103069,0.15022934323101986,0.07115244657121411,0.34605593664979883,0.16272023256656984,0.0676254747907986,0.08128022024719178,0.13226269890642886,0.08724731028240836,0.15843648158737944,0.06182119457368465,0.09469208264821168,0.054610283832222106,0.24749073596279791,0.05046693023872173,0.13841323422550977,0.0742174744490658,0.1758442044333425,0.11772529997331789,0.14140984172248194,0.05339939513548664,0.1366994660779676,0.0784025006045039,0.08607998372552444
3,0.010091403086122165,0.14203003742968953,0.22367246948251607,0.3179702484924491,0.1338357952180437,0.008606126174703648,0.12513500699937125,0.20923924548464526,0.27854580463523976,0.1249562809052234,0.34381403951090594,0.11471032239255273,0.17939128507351126,0.21652968919348467,0.23777818566631806,0.3879128037435436,0.40833801427802685,0.5373959794078654,0.2438007650825163,0.31226308996642577,0.17489429665688835,0.22994581274190842,0.09785561056835178,0.47194678669935447,0.2389172205984346,0.09025427941815259,0.13684543033458751,0.15884952724910753,0.14037195224049914,0.22123554268443055,0.11358384719187081,0.15606908302386024,0.1049361523954444,0.30140431384351285,0.08956128646240406,0.17626657723841774,0.1036962501840387,0.24065981439250228,0.18733866030874016,0.2152056751386953,0.09722459708024696,0.23949927494526682,0.1443981056156224,0.1286011609140337,0.3186907488195417,0.11121332919950336,0.1712845148428138,0.22552200390849408,0.3126803443445885,0.37977058212374654,0.4192073866695167,0.5419570107578718,0.23706703770724208,0.3490379028543324,0.17228434220790753,0.21794796484654824,0.09561810787282288,0.404003230625202,0.2345343045977183,0.10969480307544281,0.1192508485576148,0.1670346867987827,0.12487285086741698,0.22720464069099786,0.10651694742717371,0.13939034747307918,0.09190621688987356,0.2756259961135877,0.0847770526696234,0.17300505670057947,0.10751867504157439,0.23848644796404692,0.175219862526235,0.19532279662066698,0.08300972887097872,0.18967568522111455,0.1307921852012291,0.13320317978291293
4,0.014429778170660258,0.18885258049375966,0.29460844086027654,0.3788599040176949,0.17818826006060426,0.012566048004365666,0.16962462062539319,0.2832227510146036,0.3369691032280646,0.16969372023738521,0.41760054943929403,0.16537757668287922,0.21988398553628213,0.2878724183308699,0.30759422735655906,0.46149291273918547,0.46828194508255677,0.6197933801912582,0.3124027099833538,0.39160854694127856,0.2163764936103795,0.30967157039574217,0.1342569722184649,0.5441771409284318,0.31969818374052067,0.13930455561710473,0.186816830057286,0.20561102684167462,0.18992931230503435,0.3010103652211863,0.17024875017874994,0.2102668667211906,0.15292165089299273,0.35111961321937923,0.13485130686365515,0.22296544823099185,0.14846116793346723,0.30971417835643905,0.26233022816964724,0.27800786011032136,0.1383853702924139,0.3131424168861596,0.21501102103004144,0.18779965719066438,0.39131540078211846,0.16084918837814938,0.2085503131672698,0.294440195102135,0.37411586043601003,0.45161116301248455,0.4746419578391829,0.6174036785607111,0.30204815165706345,0.4245701799781462,0.215509893411991,0.29846236431916784,0.12979802022949338,0.47625943491894607,0.31484163685134153,0.16201536055215623,0.16737452752217755,0.21237612716982415,0.17347083604215002,0.30594392197461073,0.1628917026186904,0.1938454903746255,0.1402606641321917,0.32175180935521885,0.1285654127949027,0.217724918318064,0.15116441975608408,0.31057873857951424,0.2454915130068869,0.26067716540049246,0.12200276782669589,0.256273828303368,0.1964101648380416,0.19227513246317077
5,0.020633053684549842,0.25097071732615567,0.38345522382993646,0.4575482352922788,0.23593825435211027,0.01829588939943724,0.22876080602415721,0.3740567021597685,0.4124914873793322,0.22715834649904101,0.5094282619930022,0.2290753109268569,0.2770032380955157,0.3775532678161372,0.3958068163198751,0.5552588033266167,0.5471989474507899,0.7207039503808188,0.3949934000349249,0.48894906939607097,0.2716642001810974,0.4069583084274893,0.18348675365906836,0.6348327153313995,0.41529541808014603,0.2031837767609608,0.2509540687014843,0.2660489688823596,0.25390950181949185,0.3962632819406101,0.24170361611379151,0.27886563746969933,0.2157217802082476,0.41911487783472234,0.19314336596967874,0.2834758323407859,0.20703576935020684,0.3939047452758426,0.3539315661807643,0.35746036568590867,0.192425598433735,0.4050525994851186,0.30227570983995833,0.2627390425738498,0.48024065839442326,0.2233162983184127,0.2627926267625191,0.38193527895470897,0.4544457622223643,0.5435980620418542,0.5490220611469953,0.7108997237377458,0.3808974125693856,0.5179153500628415,0.27247046497587923,0.395850028199886,0.17675257421924007,0.5662971688220267,0.409714995370434,0.22829619441302587,0.22936236126518844,0.2715457270350734,0.23628949356275317,0.4000199145463,0.23422027170489002,0.26200400338355334,0.20310552886093344,0.38761940825717445,0.18517834800670258,0.27592838251232016,0.20849939974872272,0.3968113883384009,0.332322191744787,0.3413848815192185,0.17357198987320036,0.3401472301496589,0.278962807524283,0.26684415682065915
6,0.029476722883511563,0.3325413280079204,0.4947917739324109,0.5586864523008924,0.3107044785384632,0.02654562924121707,0.30669832622105103,0.48638948619385375,0.5096355180335473,0.3009886172603962,0.6233388608784759,0.31048598407624445,0.3545222876602216,0.4896237167393499,0.5071946202517782,0.6734164090277402,0.6493114460971771,0.8448717213468796,0.4970135801573858,0.6089769286520065,0.34487488509255937,0.526653905822269,0.24964660170749559,0.7484153965829066,0.531754937786839,0.28617220605000276,0.33382065074366285,0.3444697997131583,0.33660500856797004,0.5126281754897228,0.33247726699192737,0.3663549658497296,0.2976898915474314,0.5093494182970083,0.2687614544396394,0.36210857197196,0.2837249329809949,0.4981960459902415,0.4669299436956035,0.45806546309819385,0.26357658308440196,0.5198089582092794,0.4108103320258451,0.35778872213299384,0.5899908730247626,0.3033492611965204,0.33747413081784183,0.49202804108655873,0.5581586156824974,0.6596878099909087,0.6463926422923304,0.8272016422014485,0.4794202688547946,0.6337609448185149,0.34728429240863723,0.5150131523797972,0.24052653831368748,0.6785500965171513,0.5250544218860581,0.31311019519930755,0.3097331958262704,0.3487620190550808,0.3175790428278555,0.5149960245019997,0.3248421955893506,0.34863010260165794,0.28480540536983534,0.476602573015708,0.2589057793761993,0.3518953246164052,0.2838137054135832,0.5024106829114459,0.44038220036021575,0.4421494777907243,0.24186342924082938,0.4459419289108259,0.38300156827841764,0.36139574775856104
7,0.04204839204820616,0.43884047419221683,0.6343533670926104,0.6880238927517492,0.4071802549525678,0.03837193972765501,0.4087391310612412,0.6260373028407697,0.6340787035330924,0.3958841759663715,0.7648963361352903,0.415334536199047,0.4575359556615106,0.6295424624903188,0.6476693741640841,0.8214405061195129,0.7800513547230925,0.9980952796300119,0.6247339058276067,0.7574871682747982,0.4413186254126925,0.6746551455207423,0.33803725345355073,0.8905590620055176,0.6756265582714125,0.3937499672668707,0.4410698345878699,0.44633246367036344,0.4434978548797879,0.6563527813991096,0.44824715155992484,0.47839585949723124,0.4043503308837816,0.627084589597411,0.3671958872929386,0.46434965110035575,0.3840106130165094,0.6285742259569257,0.607169070769091,0.5854655519691868,0.357241245924387,0.66315780590557,0.5463518487414368,0.4785257477540281,0.7264589724777052,0.4067244894685356,0.43751854705807075,0.6301459161879959,0.6909597859517926,0.8052214888601514,0.772092632399858,0.97212358755504,0.603959616503638,0.7779157730727806,0.44527729288265827,0.6619142043626896,0.326387118217931,0.8186337759786793,0.6673560058822332,0.4221536307026033,0.4141110945384137,0.44943705520097205,0.42280006160112993,0.6571520225377335,0.4403166253400046,0.45956022622537723,0.3908914741302314,0.5936216900900236,0.35523240304356535,0.45108091778035675,0.38258091217376755,0.6335207479027222,0.5754649000993055,0.5687641886137377,0.33222191347772645,0.5794866046730469,0.5142027498380719,0.4815747789495579
8,0.059869706051760174,0.5764608251197972,0.8091537171078063,0.852572127552798,0.531265923706238,0.05525943399212178,0.5415466694721784,0.8001462388534459,0.7928482212681596,0.5177764112475757,0.9411001108758712,0.5506597391729906,0.5926383239215779,0.80419006357984,0.8244026399521869,1.0061478513116633,0.94621135364757,1.1873969799597972,0.7855304148012769,0.9415258566254366,0.5677163565496013,0.858066211107912,0.4553898424029974,1.0681934575134941,0.8544050295290392,0.5327962174491909,0.5796836579990922,0.5784750173833709,0.5814578260157711,0.834709338053854,0.5960316994920742,0.6220054084648816,0.542603997874397,0.7790160142002059,0.4953377137294353,0.5970792833105266,0.5147689825257945,0.7922517940089069,0.7817500671075182,0.7466322803239726,0.4802331487407852,0.8421457385925839,0.7159377268600229,0.6318972938831295,0.8968945515618376,0.5405379447918732,0.5694365148680903,0.8031858673052714,0.8599236888529366,0.9870034938719798,0.9328968311769711,1.1527519493909,0.7618825650549746,0.9574908882259596,0.5732195300645717,0.8437776775773044,0.44106806177802166,0.9935308518734776,0.8441488832336067,0.5624768871741319,0.5494816445010539,0.5804097591709916,0.5588404047529308,0.8338506743727215,0.5876035044276116,0.6019428272527718,0.5282831125479314,0.7451905027218481,0.4810733731798974,0.5803566639337182,0.5116880900163481,0.7974866391422792,0.7446936873430077,0.7283449314179428,0.45143893094343907,0.7479752087780367,0.679592235963691,0.6343988420780824
9,0.08505735355616896,0.7534271821781441,1.0275282761689815,1.0606708244330008,0.690170289653772,0.07928170177610065,0.7132929883009363,1.0172892626805796,0.994440320650691,0.6739640524009456,1.160362829001152,0.7249765687365896,0.7680242052664025,1.0218657798977655,1.0458651451616459,1.2357069807016248,1.1560063625526484,1.4210900102012076,0.9880445282342546,1.1694459788007547,0.7323437800570011,1.0852623746780927,0.6100290237920357,1.2896110130709026,1.0767218172639632,0.7117071759691596,0.7581191547043973,0.7492611713521716,0.7588670690364381,1.0561774941678916,0.7843026274881613,0.8056695530718422,0.7208546371163513,0.9733353076733631,0.6616285018944369,0.7687153824616133,0.6844118166557402,0.9977798142572679,0.9991259755164795,0.9499606293954023,0.6409407354753758,1.06516661788764,0.9279957389644822,0.8263118520216459,1.1099622210123465,0.713386861851444,0.7414154104505786,1.0195485558697415,1.0735813352710821,1.2133399399221458,1.1370993457453829,1.3775638536686965,0.9618451875470979,1.1809968733839984,0.7395016755391854,1.0692008615616209,0.5929519929905303,1.2116921488598744,1.0642224394308788,0.7426323465961685,0.724361760523466,0.7501146165659638,0.7341681820750845,1.0537423106519341,0.7751821454751562,0.7843951385518798,0.7054336564509642,0.9394489946097575,0.6449375065878239,0.7481784208586911,0.6795926878019842,1.0030178907701541,0.9566436771785899,0.9294648761667804,0.6079363203585284,0.9600764127640224,0.887675004167916,0.8283965861131287
10,0.1205269655945265,0.9791313865469607,1.2989941749458294,1.3218631392707048,0.8923817288706664,0.11330662532085184,0.9336328194808837,1.2873859041485736,1.2487643436278912,0.8731200729941625,1.4323521382066273,0.9482309929229936,0.9934027161035679,1.2921268956260057,1.321676050774946,1.51947279182646,1.41894400578143,1.7086469064014416,1.2421263592050535,1.450771244308617,0.944984902331995,1.3657595457126375,0.8118484449469988,1.5643382366108456,1.3522793607567405,0.9403202695878327,0.9862524237359991,0.9685325998963834,0.9855538357009831,1.3303742922007789,1.0229048602804955,1.039265035568338,0.9489409145242096,1.2196089571339674,0.8760149604997394,0.9891631146491454,0.9028344439677242,1.2549604590100987,1.2689936148962535,1.2051653260930928,0.849298943419551,1.3418194195296103,1.1922357599126667,1.0715421042848672,1.3756614480588019,0.9353484810772783,0.963239756251909,1.2890134954233659,1.3418313675307603,1.493912416179374,1.3944195537756061,1.6563499705233684,1.2137982356214747,1.458253041829412,0.9541342286447202,1.348072042860717,0.7920688203909206,1.4829505490533168,1.3376088476121772,0.9726281539401264,0.9487732554833361,0.9685683253515562,0.9588009350717339,1.3267338979927765,1.0129867523744003,1.016963601432577,0.9322850914126573,1.1860409428995213,0.8569016984524492,0.9645633626630861,0.8962889199989079,1.2601427928135671,1.221271723710574,1.182091544927471,0.8117645313514001,1.2258608407304767,1.1483682963894692,1.073558513837065
